,Unnamed: 0,station_id,name,type,forecast_region,latitude,longitude,elevation_meters,geometry,natural_subregion,forest_area
0,1,AC,Adams Creek,LO,ED,53.7254,-118.5683,2177.63,POINT (264702.734833854 5956498.305364526),Alpine,Edson
1,2,AD,ADAIR,LO,OJ,59.160627,-118.329472,394,POINT (309732.8063132892 6560062.553724932),Northern Mixedwood,High Level
2,3,AE,Abee Agrd,MET,LB,54.2773,-112.9654,664,POINT (632417.3237908484 6013877.280879932),Dry Mixedwood,Lac La Biche
3,4,AF,Alder Flats,LO,RM,52.93,-114.9403,960,POINT (504011.3600067233 5862138.586128435),Lower Foothills,Rocky Mountain
4,5,AKM,Akamina Pass,PAW,CR,49.0272,-114.0535,1809,POINT (569163.5691843902 5428737.765222042),Subalpine,Calgary
5,6,AL,Algar,LO,MM,56.1608,-111.7198,751.3,POINT (703604.9138434766 6226328.929742982),Lower Boreal Highlands,Fort McMurray
6,7,ALA,Algar Auto,PAW,MM,56.1608,-111.7198,750,POINT (703604.9138434766 6226328.929742982),Lower Boreal Highlands,Fort McMurray
7,8,AM,AMBER,LO,OJ,59.176464,-119.455868,611,POINT (245535.050881129 6565580.4393642),Lower Boreal Highlands,High Level
8,9,AN,Ansell,LO,ED,53.5513,-116.503,967.7,POINT (400465.8208546649 5932276.809252479),Lower Foothills,Edson
9,10,ANA,Ansell Auto,PAW,ED,53.5513,-116.5031,967.7,POINT (400459.1989332851 5932276.949018272),Lower Foothills,Edson
10,11,AO,Atmore ,MET,LB,54.7802,-112.8248,574,POINT (639836.7442624377 6070072.580038274),Dry Mixedwood,Lac La Biche
11,12,AOA,Atmore Agdm,PAW,LB,54.7802,-112.8248,583,POINT (639836.7442624377 6070072.580038274),Dry Mixedwood,Lac La Biche
12,13,AR,Archer Lake,TAW,PY,58.1299,-110.2536,280,POINT (779285.8202276267 6450427.099928604),Athabasca Plain,Fort McMurray
13,14,AS,Fort Assiniboine Agrd,MET,SH,54.4104,-114.7692,676,POINT (514973.6307535024 6026796.415798133),Central Mixedwood,Whitecourt
14,15,ASA,Fort Assiniboine Auto,PAW,SH,54.4104,-114.7692,676,POINT (514973.6307535024 6026796.415798133),Central Mixedwood,Whitecourt
15,16,AT,Athabasca,LO,ED,53.4085,-117.7863,1581.78,POINT (314875.2278923463 5918961.678500628),Upper Foothills,Edson
16,17,AU,AURORA,LO,RM,52.654945,-115.724642,1330.69,POINT (451002.1493743533 5831798.970154053),Upper Foothills,Rocky Mountain House
17,18,AWA,Antler West Auto,PAW,GP,54.0898,-119.7988,1247,POINT (186358.3892068273 6001763.229250193),Subalpine,Grande Prairie
18,19,B1,Highwood Auto,PAW,BO,50.4147,-114.7264,1576,POINT (519431.1371505122 5582541.564882979),Montane,Calgary
19,20,B2,Willow Creek Auto,PAW,BO,50.239,-114.348,1446,POINT (546476.0927138212 5563180.675849851),Montane,Calgary
20,21,B3,Yaha Tinda Auto,PAW,RM,51.6547,-115.3617,1486,POINT (474988.5544724954 5720406.044610536),Upper Foothills,Rocky Mountain House
21,22,B4,Kananaskis Boundary Auto,PAW,BO,50.9258,-115.124,1464,POINT (491288.5879449007 5639323.40627533),Montane,Calgary
22,23,B5,Peter Lougheed Pp Auto,PAW,BO,50.7136,-115.1192,1622,POINT (491587.7652604874 5615735.594607828),Subalpine,Calgary
23,24,B6,Burnt Timber,PAW,BO,51.58,-114.95,1420,POINT (503463.1708394167 5712040.832828064),Lower Foothills,Calgary
24,25,B7,Elbow Auto,PAW,BO,50.905,-114.6911,1413,POINT (521710.9091876508 5637049.43049253),Montane,Calgary
25,26,B8,North Ghost Auto,PAW,BO,51.5742,-114.8553,1477,POINT (510023.6900511439 5711404.777168726),Upper Foothills,Calgary
26,27,BA,Blackstone Burn,TAW,RM,52.5958,-116.6309,1669,POINT (389578.399833684 5826224.834471478),Subalpine,Rocky Mountain House
27,28,BB,Burnt Timber,LO,BO,51.449,-115.2721,2332,POINT (481099.3026855737 5697511.595104191),Subalpine,Calgary
28,29,BC,Basset,LO,OJ,58.1952,-118.2185,755,POINT (310913.3164891428 6452376.751559704),Lower Boreal Highlands,High Level
29,30,BCA,Basset  Auto,PAW,OJ,58.1952,-118.2185,755,POINT (310913.3164891428 6452376.751559704),Lower Boreal Highlands,High Level
30,31,BD,Bald Mountain,LO,GP,54.813,-118.9164,954.9,POINT (248476.3520911594 6078582.147436691),Lower Foothills,Grande Prairie
31,32,BDA,Bald Mountain Auto,PAW,GP,54.8127,-118.9158,933,POINT (248513.0004932101 6078546.64960504),Lower Foothills,Grande Prairie
32,33,BE,Berland,LO,SH,54.0904,-117.4013,1230.9,POINT (343014.2746596999 5993846.411253813),Upper Foothills,Whitecourt
33,34,BEA,Berland AUTO,PAW,SH,54.0904,-117.4013,1230,POINT (343014.2746596999 5993846.411253813),Upper Foothills,Whitecourt
34,35,BF,BUFFALO,LO,FV,57.954271,-116.204649,801,POINT (428734.2187024088 6421683.614536519),Lower Boreal Highlands,High Level
35,36,BG,Blue Ridge,RS,ED,54.125,-115.3764,731.52,POINT (475411.0253875445 5995094.881936002),Central Mixedwood,Whitecourt
36,37,BH,BLUE HILL,LO,RM,51.70506,-115.224681,1987,POINT (484480.5870674465 5725966.643802345),Subalpine,Rocky Mountain House
37,38,BI,Birch Mountain,LO,MM,57.6946,-111.8261,798,POINT (689084.1330142739 6396579.236206024),Upper Boreal Highlands,Fort McMurray
38,39,BIA,Birch Mountain Auto,PAW,MM,57.6946,-111.8261,798,POINT (689084.1330142739 6396579.236206024),Upper Boreal Highlands,Fort McMurray
39,40,BK,BURNSTICK,LO,BO,51.964,-114.777,1227,POINT (515315.2085463085 5754753.941554678),Lower Foothills,Rocky Mountain House
40,41,BL,BASELINE,LO,RM,52.131453,-115.428769,1907.5,POINT (470662.8820536864 5773434.421645942),Subalpine,Rocky Mountain House
41,42,BM,Bitumont,LO,MM,57.3658,-111.5363,397,POINT (708207.1934813928 6360864.405802968),Central Mixedwood,Fort McMurray
42,43,BN,Buckton,LO,MM,57.8719,-112.102,835,POINT (671809.1947265061 6415562.591110561),Upper Boreal Highlands,Fort McMurray
43,44,BNA,Buckton Auto,PAW,MM,57.9428,-112.3976,646,POINT (653986.2663384459 6422736.594184675),Lower Boreal Highlands,Fort McMurray
44,45,BO,Kananaskis Boundary,RS,BO,50.9267,-115.1236,1453,POINT (491316.8568089812 5639423.40116985),Montane,Calgary
45,46,BP,BARRIER LAKE,LO,BO,51.048111,-115.079931,2020.5,POINT (494399.3186707491 5652915.09811642),Montane,Calgary
46,47,BQ,BLAIRMORE,RS,CR,49.6086,-114.4514,1311,POINT (539618.8652638528 5493060.076179513),Montane,Calgary
47,48,BR,Battle River,LO,MA,57.1677,-117.664,674,POINT (338984.651617146 6336664.527432674),Dry Mixedwood,Peace River
48,49,BRA,Battle River Auto,PAW,MA,57.1677,-117.664,675,POINT (338984.651617146 6336664.527432674),Dry Mixedwood,Peace River
49,50,BRT,Beaver Ranch Taws,TAW,FV,58.4929,-115.6058,300,POINT (464699.4578247012 6481153.014065895),Dry Mixedwood,High Level
50,51,BRY,Bryant,PAW,BO,50.8993,-115.522,1850,POINT (463307.0323750262 5636500.126344489),Subalpine,Calgary
51,52,BS,Bison Lake,LO,RE,57.111,-116.5096,716,POINT (408609.1292455168 6328220.210158628),Lower Boreal Highlands,Peace River
52,53,BSA,Bison Lake Auto,PAW,RE,57.111,-116.5096,716,POINT (408609.1292455168 6328220.210158628),Lower Boreal Highlands,Peace River
53,54,BT,Blackstone,LO,RM,52.7743,-116.3313,1575.6,POINT (410228.851403342 5845654.458098125),Upper Foothills,Rocky Mountain House
54,55,BU,Blue Ridge Lumber,TAW,SH,54.4776,-116.1335,970,POINT (426583.6104341935 6034837.243114206),Lower Foothills,Whitecourt
55,56,BV,Bow Valley,RS,BO,51.0667,-115.0667,1327.4,POINT (495328.2718242626 5654980.53551279),Montane,Calgary
56,57,BVL,Beaverlodge Rcs,MET,GP,55.1966,-119.3964,745,POINT (220353.2117072902 6123038.394857857),Dry Mixedwood,Grande Prairie
57,58,BW,Buller Pb,TAW,BO,50.8448,-115.3129,2275,POINT (477979.6031093603 5630358.990279197),Alpine,Calgary
58,59,BXT,Buffalo Hills Complex,TAW,FV,57.5031,-116.4972,460,POINT (410319.3453367911 6371828.894026259),Dry Mixedwood,High Level
59,60,BY,BALDY,LO,RM,52.531667,-116.12632,2082.1,POINT (423628.7350442254 5818441.227348653),Subalpine,Rocky Mountain House
60,61,BZ,BRAZEAU,LO,RM,53.038621,-115.435822,1101.3,POINT (470789.7007423706 5874304.011845323),Lower Foothills,Rocky Mountain House
61,62,C1,Livingstone Gap Auto,PAW,CR,49.8793,-114.3827,1403,POINT (544332.8537690043 5523182.522114034),Montane,Calgary
62,63,C2,Castle Auto,PAW,CR,49.3936,-114.3408,1352,POINT (547815.1807997896 5469231.39467038),Montane,Calgary
63,64,C3,Poll Haven Auto,PAW,CR,49.0293,-113.5951,1611,POINT (602655.1182817707 5429490.134114316),Montane,Calgary
64,65,C4,Blairmore Ranger Station Auto,PAW,CR,49.6086,-114.4514,1311,POINT (539618.8652638528 5493060.076179513),Montane,Calgary
65,66,C5,Cypress Hills Ipp Auto,PAW,CR,49.6356,-110.3296,1459,POINT (837041.9431180843 5506393.538597105),Montane,Calgary
66,67,CA,Chinchaga,LO,MA,57.1172,-118.3333,881,POINT (298273.5532710315 6332829.013613762),Lower Boreal Highlands,Peace River
67,68,CAA,Chinchaga Auto,PAW,MA,57.1117,-118.3333,880,POINT (298243.6411991389 6332217.438271244),Lower Boreal Highlands,Peace River
68,69,CB,CARBONDALE,LO,CR,49.43146,-114.358908,1807.4,POINT (546465.9707187036 5473427.373364986),Montane,Calgary
69,70,CC,Carrot Creek,LO,ED,53.4462,-115.8667,1055.9,POINT (442460.5294929882 5919888.359484357),Lower Foothills,Edson
70,71,CCA,Carrot Creek Auto,PAW,ED,53.439,-115.85,1056,POINT (443559.6625948529 5919074.361997113),Lower Foothills,Edson
71,72,CD,CODESA,LO,GP,55.6668,-118.0801,743,POINT (306362.8875466428 6170827.396639676),Dry Mixedwood,Grande Prairie
72,73,CE,Cline,LO,RM,52.178,-116.4122,2049.5,POINT (403477.7487333007 5779462.627347171),Subalpine,Rocky Mountain House
73,74,CEB,Chuckegg Creek Fire Base,TAW,OJ,58.48,-117.176,300,POINT (373168.6695188184 6481611.633478764),Dry Mixedwood,High Level
74,75,CEE,Chuckegg East,TAW,OJ,58.276,-116.7715,327,POINT (396143.9311680929 6458219.779332362),Dry Mixedwood,High Level
75,76,CES,Chuckegg South,TAW,OJ,58.1393,-116.9066,337,POINT (387794.4581603793 6443226.161798937),Dry Mixedwood,High Level
76,77,CET,Chuckegg Creek Fire West,TAW,OJ,58.2043,-117.512,388,POINT (352444.4028563519 6451624.153821365),Dry Mixedwood,High Level
77,78,CF,Cambrian,LO,PY,59.2576,-110.8046,331,POINT (739034.8174864739 6573634.760838946),Kazan Uplands,Fort McMurray
78,79,CFA,Cambrian AUTO,PAW,PY,59.2576,-110.8046,325,POINT (739034.8174864739 6573634.760838946),Kazan Uplands,Fort McMurray
79,80,CFT,Cambrian Taws,TAW,PY,58.257,-110.805,331,POINT (745987.3109020407 6462402.860970971),Athabasca Plain,Fort McMurray
80,81,CG,Chungo,TAW,RM,52.685,-116.6934,2250,POINT (385580.1337567673 5836239.421582855),Subalpine,Rocky Mountain House
81,82,CGT,Chungo Pb,TAW,RM,52.6435,-116.6858,1818,POINT (385985.643998712 5831613.479128359),Subalpine,Rocky Mountain House
82,83,CH,Clear Hills,LO,MA,56.5959,-119.406,1074,POINT (229663.847885371 6278579.050234226),Upper Boreal Highlands,Peace River
83,84,CHT,Chin Complex,TAW,OJ,58.5262,-118.2913,338,POINT (308440.6644483296 6489394.623619835),Central Mixedwood,High Level
